,FM_defect4ml053_faulty
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_uniform_12,0.0667 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_uniform_2,0.0670 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_uniform_4,0.0810 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_uniform_6,0.0871 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_random_uniform_8,0.1873 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_truncated_normal_11,0.0705 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_truncated_normal_12,0.0922 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_truncated_normal_2,0.0802 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_truncated_normal_4,0.0889 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_truncated_normal_6,0.0740 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_truncated_normal_8,0.1593 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_zeros_11,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_zeros_12,0.0861 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_zeros_2,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_zeros_4,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_zeros_6,0.4000 (reliable)
MM_defect4ml053_change_weights_initialisation_mutated0_MP_zeros_8,0.4000 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_24.75,0.1621 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_37.12,0.1895 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_40.22,0.3432 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_43.31,0.2877 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_46.41,0.2921 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_49.5,0.4230 (reliable)
MM_defect4ml053_delete_training_data_mutated0_MP_99,0.3999 (reliable)
MM_defect4ml053_disable_batching_mutated0_MP,0.4043 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_100,0.1694 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_25.0,0.1207 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_28.12,0.1565 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_31.25,0.1660 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_37.5,0.1341 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_50.0,0.1265 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_62.5,0.1513 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_68.75,0.1871 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_71.88,0.1715 (reliable)
MM_defect4ml053_make_output_classes_overlap_mutated0_MP_75.0,0.1885 (reliable)
MM_defect4ml053_remove_activation_function_mutated0_MP_11,0.1429 (reliable)
MM_defect4ml053_remove_activation_function_mutated0_MP_12,0.3816 (reliable)
MM_defect4ml053_remove_activation_function_mutated0_MP_2,0.1625 (reliable)
MM_defect4ml053_remove_activation_function_mutated0_MP_4,0.1654 (reliable)
MM_defect4ml053_remove_activation_function_mutated0_MP_6,0.1439 (reliable)
MM_defect4ml053_remove_activation_function_mutated0_MP_8,0.1068 (reliable)
MM_defect4ml053_remove_bias_mutated0_MP_11,0.1429 (reliable)
MM_defect4ml053_remove_bias_mutated0_MP_12,0.1069 (reliable)
MM_defect4ml053_remove_bias_mutated0_MP_2,0.1532 (reliable)
MM_defect4ml053_remove_bias_mutated0_MP_4,0.1532 (reliable)
MM_defect4ml053_remove_bias_mutated0_MP_6,0.1326 (reliable)
MM_defect4ml053_remove_bias_mutated0_MP_8,0.1425 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_100,0.3159 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_25.0,0.1552 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_31.25,0.1330 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_34.38,0.2333 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_37.5,0.2308 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_50.0,0.2480 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_62.5,0.3413 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_68.75,0.3451 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_71.88,0.4360 (reliable)
MM_defect4ml053_unbalance_train_data_mutated0_MP_75.0,0.4600 (reliable)
