,FM_deeplocalize015_faulty
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_variance_scaling_6,0.0074 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_variance_scaling_7,0.0080 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_zeros_1,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_zeros_3,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_zeros_6,0.7879 (reliable)
MM_deeplocalize015_change_weights_initialisation_mutated0_MP_zeros_7,0.0066 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_12.38,0.0104 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_24.75,0.0069 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_27.84,0.0092 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_30.93,0.0088 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_37.12,0.0084 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_49.5,0.0107 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_6.19,0.0066 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_9.29,0.0076 (reliable)
MM_deeplocalize015_delete_training_data_mutated0_MP_99,0.0924 (reliable)
MM_deeplocalize015_make_output_classes_overlap_mutated0_MP_100,0.1076 (reliable)
MM_deeplocalize015_make_output_classes_overlap_mutated0_MP_50.0,0.0064 (reliable)
MM_deeplocalize015_make_output_classes_overlap_mutated0_MP_75.0,0.0189 (reliable)
MM_deeplocalize015_make_output_classes_overlap_mutated0_MP_87.5,0.0314 (reliable)
MM_deeplocalize015_make_output_classes_overlap_mutated0_MP_90.62,0.0484 (reliable)
MM_deeplocalize015_make_output_classes_overlap_mutated0_MP_93.75,0.0776 (reliable)
MM_deeplocalize015_remove_activation_function_mutated0_MP_6,0.0131 (reliable)
MM_deeplocalize015_remove_activation_function_mutated0_MP_7,0.8211 (reliable)
MM_deeplocalize015_remove_bias_mutated0_MP_1,0.0072 (reliable)
MM_deeplocalize015_remove_bias_mutated0_MP_3,0.0083 (reliable)
MM_deeplocalize015_remove_bias_mutated0_MP_6,0.0070 (reliable)
MM_deeplocalize015_remove_bias_mutated0_MP_7,0.0078 (reliable)
MM_deeplocalize015_unbalance_train_data_mutated0_MP_100,0.3990 (reliable)
MM_deeplocalize015_unbalance_train_data_mutated0_MP_12.5,0.0082 (reliable)
MM_deeplocalize015_unbalance_train_data_mutated0_MP_25.0,0.0085 (reliable)
MM_deeplocalize015_unbalance_train_data_mutated0_MP_3.12,0.0063 (reliable)
MM_deeplocalize015_unbalance_train_data_mutated0_MP_50.0,0.0100 (reliable)
MM_deeplocalize015_unbalance_train_data_mutated0_MP_6.25,0.0089 (reliable)
